Fichero: data/datos_10X.txt, K: 4, Procesos: 3, Hilos: 3, MAPE: 0.00%, T_Total: 13.7705s, T_Lectura: 0.0510s, T_Scatter: 0.0010s, T_Calc(Avg): 0.2909s, T_Comm(Avg): 9.0499s
Fichero: data/datos_10X.txt, K: 4, Procesos: 3, Hilos: 4, MAPE: 0.00%, T_Total: 13.2755s, T_Lectura: 0.0614s, T_Scatter: 0.0011s, T_Calc(Avg): 0.9963s, T_Comm(Avg): 8.5867s
Fichero: data/datos_10X.txt, K: 4, Procesos: 4, Hilos: 1, MAPE: 0.00%, T_Total: 17.7613s, T_Lectura: 0.0692s, T_Scatter: 0.0008s, T_Calc(Avg): 0.1239s, T_Comm(Avg): 13.1721s
Fichero: data/datos_10X.txt, K: 4, Procesos: 4, Hilos: 2, MAPE: 0.00%, T_Total: 14.1327s, T_Lectura: 0.0583s, T_Scatter: 0.0008s, T_Calc(Avg): 0.1308s, T_Comm(Avg): 10.4638s
Fichero: data/datos_10X.txt, K: 4, Procesos: 4, Hilos: 3, MAPE: 0.00%, T_Total: 14.2321s, T_Lectura: 0.0727s, T_Scatter: 0.0007s, T_Calc(Avg): 0.8671s, T_Comm(Avg): 10.4048s
Fichero: data/datos_10X.txt, K: 4, Procesos: 4, Hilos: 4, MAPE: 0.00%, T_Total: 18.0870s, T_Lectura: 0.0662s, T_Scatter: 0.0007s, T_Calc(Avg): 5.3356s, T_Comm(Avg): 10.8143s
Fichero: data/datos_100X.txt, K: 4, Procesos: 1, Hilos: 1, MAPE: 3.20%, T_Total: 28.2859s, T_Lectura: 0.6966s, T_Scatter: 0.0108s, T_Calc(Avg): 2.5764s, T_Comm(Avg): 0.0048s
Fichero: data/datos_100X.txt, K: 4, Procesos: 1, Hilos: 2, MAPE: 3.20%, T_Total: 26.7060s, T_Lectura: 0.7580s, T_Scatter: 0.0132s, T_Calc(Avg): 1.6117s, T_Comm(Avg): 0.0044s
Fichero: data/datos_100X.txt, K: 4, Procesos: 1, Hilos: 3, MAPE: 3.20%, T_Total: 27.2467s, T_Lectura: 0.5903s, T_Scatter: 0.0109s, T_Calc(Avg): 1.9116s, T_Comm(Avg): 0.0044s
Fichero: data/datos_100X.txt, K: 4, Procesos: 1, Hilos: 4, MAPE: 3.20%, T_Total: 27.5785s, T_Lectura: 0.6541s, T_Scatter: 0.0114s, T_Calc(Avg): 1.7487s, T_Comm(Avg): 0.0045s
Fichero: data/datos_100X.txt, K: 4, Procesos: 2, Hilos: 1, MAPE: 3.20%, T_Total: 25.2323s, T_Lectura: 0.7558s, T_Scatter: 0.0122s, T_Calc(Avg): 1.4992s, T_Comm(Avg): 11.4996s
Fichero: data/datos_100X.txt, K: 4, Procesos: 2, Hilos: 2, MAPE: 3.20%, T_Total: 21.9885s, T_Lectura: 0.6220s, T_Scatter: 0.0133s, T_Calc(Avg): 1.2116s, T_Comm(Avg): 10.0764s
Fichero: data/datos_100X.txt, K: 4, Procesos: 2, Hilos: 3, MAPE: 3.20%, T_Total: 23.2280s, T_Lectura: 0.6678s, T_Scatter: 0.0108s, T_Calc(Avg): 1.4237s, T_Comm(Avg): 10.5894s
Fichero: data/datos_100X.txt, K: 4, Procesos: 2, Hilos: 4, MAPE: 3.20%, T_Total: 23.0336s, T_Lectura: 0.6396s, T_Scatter: 0.0154s, T_Calc(Avg): 1.3823s, T_Comm(Avg): 10.5292s
Fichero: data/datos_100X.txt, K: 4, Procesos: 3, Hilos: 1, MAPE: 3.20%, T_Total: 22.9149s, T_Lectura: 0.6089s, T_Scatter: 0.0107s, T_Calc(Avg): 1.2948s, T_Comm(Avg): 14.0320s
Fichero: data/datos_100X.txt, K: 4, Procesos: 3, Hilos: 2, MAPE: 3.20%, T_Total: 19.2369s, T_Lectura: 0.6088s, T_Scatter: 0.0108s, T_Calc(Avg): 1.1876s, T_Comm(Avg): 11.6370s
Fichero: data/datos_100X.txt, K: 4, Procesos: 3, Hilos: 3, MAPE: 3.20%, T_Total: 18.0713s, T_Lectura: 0.6246s, T_Scatter: 0.0121s, T_Calc(Avg): 1.1834s, T_Comm(Avg): 10.8738s
Fichero: data/datos_100X.txt, K: 4, Procesos: 3, Hilos: 4, MAPE: 3.20%, T_Total: 18.3562s, T_Lectura: 0.5964s, T_Scatter: 0.0147s, T_Calc(Avg): 1.9152s, T_Comm(Avg): 10.9802s
Fichero: data/datos_100X.txt, K: 4, Procesos: 4, Hilos: 1, MAPE: 3.20%, T_Total: 22.2041s, T_Lectura: 0.6891s, T_Scatter: 0.0117s, T_Calc(Avg): 1.1447s, T_Comm(Avg): 15.2790s
Fichero: data/datos_100X.txt, K: 4, Procesos: 4, Hilos: 2, MAPE: 3.20%, T_Total: 18.6394s, T_Lectura: 0.6151s, T_Scatter: 0.0119s, T_Calc(Avg): 1.0463s, T_Comm(Avg): 12.7091s
Fichero: data/datos_100X.txt, K: 4, Procesos: 4, Hilos: 3, MAPE: 3.20%, T_Total: 18.1161s, T_Lectura: 0.6915s, T_Scatter: 0.0129s, T_Calc(Avg): 1.6310s, T_Comm(Avg): 12.2454s
Fichero: data/datos_100X.txt, K: 4, Procesos: 4, Hilos: 4, MAPE: 3.20%, T_Total: 21.8878s, T_Lectura: 0.6722s, T_Scatter: 0.0140s, T_Calc(Avg): 5.7572s, T_Comm(Avg): 12.7901s
